"year","league","sum_in","sum_out"
"2006","french_ligue_1","186.297","180.47"
"2006","english_championship","90.259","127.618"
"2006","portugese_liga_nos","22.095","42.863"
"2006","dutch_eredivisie","56.873","79.936"
"2006","russian_premier_liga","84.428","61.018"
"2007","english_premier_league","843.087","423.977"
"2007","spanish_primera_division","514.4","277.374"
"2007","german_bundesliga_1","244.375","143.284"
"2007","italian_serie_a","396.102","259.012"
"2007","french_ligue_1","227.835","311.045"
"2007","english_championship","115.843","183.931"
"2007","portugese_liga_nos","65.247","164.03"
"2007","dutch_eredivisie","103.89","155.585"
"2007","russian_premier_liga","113.838","60.84"
"2008","english_premier_league","770.393","479.09"
"2008","spanish_primera_division","352.103","335.101"
"2008","german_bundesliga_1","164.485","104.847"
"2008","italian_serie_a","536.815","321.14"
"2008","french_ligue_1","232.232","253.094"
"2008","english_championship","67.138","96.173"
"2008","portugese_liga_nos","66.259","73.301"
"2008","dutch_eredivisie","85.427","119.09"
"2008","russian_premier_liga","126.464","125.948"
"2009","english_premier_league","534.429","468.954"
"2009","spanish_primera_division","454.533","221.742"
"2009","german_bundesliga_1","221.365","120.287"
"2009","italian_serie_a","490.333","466.544"
"2009","french_ligue_1","243.427","189.615"
"2009","english_championship","76.432","145.146"
"2009","portugese_liga_nos","75.539","90.788"
"2009","dutch_eredivisie","48.682","72.729"
"2009","russian_premier_liga","105.118","76.86"
"2010","english_premier_league","629.038","305.642"
"2010","spanish_primera_division","282.82","279.658"
"2010","german_bundesliga_1","192.416","188.307"
"2010","italian_serie_a","421.624","356.334"
"2010","french_ligue_1","138.524","193.448"
"2010","english_championship","53.179","64.148"
"2010","portugese_liga_nos","83.727","155.934"
"2010","dutch_eredivisie","39.385","68.396"
"2010","russian_premier_liga","196.444","81.154"
"2011","english_premier_league","576.251","387.418"
"2011","spanish_primera_division","359.664","282.82"
"2011","german_bundesliga_1","200.18","171.692"
"2011","italian_serie_a","560.247","491.141"
"2011","french_ligue_1","222.24","165.929"
"2011","english_championship","69.09","128.083"
"2011","portugese_liga_nos","105.438","122.302"
"2011","dutch_eredivisie","62.225","111.346"
"2011","russian_premier_liga","124.943","36.45"
"2012","english_premier_league","697.591","336.42"
"2012","spanish_primera_division","147.528","196.96"
"2012","german_bundesliga_1","260.202","158.756"
"2012","italian_serie_a","509.151","490.501"
"2012","french_ligue_1","234.375","209.759"
"2012","english_championship","90.298","106.863"
"2012","portugese_liga_nos","51.05","167.526"
"2012","dutch_eredivisie","44.69","103.774"
"2012","russian_premier_liga","297.405","75.699"
"2013","english_premier_league","832.128","362.618"
"2013","spanish_primera_division","404.725","450.113"
"2013","german_bundesliga_1","274.881","200.741"
"2013","italian_serie_a","511.462","499.647"
"2013","french_ligue_1","372.232","219.46"
"2013","english_championship","43.651","74.553"
"2013","portugese_liga_nos","92.081","169.339"
"2013","dutch_eredivisie","35.763","143.554"
"2013","russian_premier_liga","290.519","291.114"
"2014","english_premier_league","1097.517","606.53"
"2014","spanish_primera_division","483.001","517.344"
"2014","german_bundesliga_1","331.468","186.621"
"2014","italian_serie_a","422.033","395.754"
"2014","french_ligue_1","156.703","209.42"
"2014","english_championship","129.473","150.829"
"2014","portugese_liga_nos","109.733","217.96"
"2014","dutch_eredivisie","38.386","125.236"
"2014","russian_premier_liga","79.611","56.99"
"2015","english_premier_league","1316.778","629.405"
"2015","spanish_primera_division","551.648","412.448"
"2015","german_bundesliga_1","426.735","478.823"
"2015","italian_serie_a","649.212","594.185"
"2015","french_ligue_1","327.324","433.455"
"2015","english_championship","184.564","194.862"
"2015","portugese_liga_nos","86.789","295.225"
"2015","dutch_eredivisie","52.053","141.093"
"2015","russian_premier_liga","36.009","78.776"
"2016","english_premier_league","1493.833","785.161"
"2016","spanish_primera_division","473.667","443.22"
"2016","german_bundesliga_1","607.658","493.21"
"2016","italian_serie_a","779.588","744.51"
"2016","french_ligue_1","329.738","351.384"
"2016","english_championship","318.821","317.523"
"2016","portugese_liga_nos","111.16","265.963"
"2016","dutch_eredivisie","48.719","149.591"
"2016","russian_premier_liga","108.931","159.935"
"2017","english_premier_league","1956.939","1212.412"
"2017","spanish_primera_division","801.654","787.232"
"2017","german_bundesliga_1","651.865","576.986"
"2017","italian_serie_a","922.881","849.663"
"2017","french_ligue_1","709.615","628.615"
"2017","english_championship","256.532","285.501"
"2017","portugese_liga_nos","86.482","298.934"
"2017","dutch_eredivisie","88.881","212.708"
"2017","russian_premier_liga","138.025","60.8"
"2018","english_premier_league","1490.555","488.73"
"2018","spanish_primera_division","909.838","776.58"
"2018","german_bundesliga_1","505.003","522.307"
"2018","italian_serie_a","1163.441","869.236"
"2018","french_ligue_1","597.005","845.205"
"2018","english_championship","207.823","314.212"
"2018","portugese_liga_nos","96.303","299.506"
"2018","dutch_eredivisie","83.004","99.015"
"2018","russian_premier_liga","114.871","141.48"
